cluster,rank,keyword,count
0,1,energy,31
0,2,education,18
0,3,big data,18
0,4,innovation management,18
0,5,prototyping,18
0,6,technology transfer,18
0,7,technological innovation,18
0,8,artificial intelligence decision support,18
0,9,manufacturing and processing,18
0,10,high performance computing,18
0,11,communication network,17
0,12,knowledge transfer,17
0,13,robotics,17
0,14,internet of things,17
0,15,public sector innovation,17
1,1,artificial intelligence decision support,51
1,2,technological innovation,50
1,3,internet of things,47
1,4,sme support,47
1,5,digital twins,46
1,6,technology transfer,46
1,7,robotics,46
1,8,manufacturing and processing,43
1,9,prototyping,42
1,10,virtual reality,41
1,11,knowledge transfer,41
1,12,sensors vision processing systems,39
1,13,innovation management,38
1,14,additive manufacturing,35
1,15,simulation engineering and modelling,34
2,1,artificial intelligence decision support,67
2,2,sme support,63
2,3,ecosystem building,56
2,4,cybersecurity,50
2,5,knowledge transfer,48
2,6,manufacturing and processing,47
2,7,internet of things,42
2,8,technology transfer,35
2,9,technological innovation,33
2,10,innovation management,31
2,11,health care,30
2,12,sme business development,30
2,13,public administration,27
2,14,high performance computing,27
2,15,prototyping,26
3,1,energy,50
3,2,sme support,45
3,3,artificial intelligence decision support,45
3,4,manufacturing and processing,44
3,5,technological innovation,44
3,6,technology transfer,40
3,7,ecosystem building,39
3,8,internet of things,38
3,9,digital twins,38
3,10,innovation management,37
3,11,big data,37
3,12,robotics,36
3,13,knowledge transfer,36
3,14,cybersecurity,35
3,15,automotive,35
4,1,knowledge transfer,29
4,2,education,29
4,3,artificial intelligence decision support,29
4,4,technological innovation,28
4,5,internet of things,27
4,6,internet services applications,27
4,7,sme support,27
4,8,smart city,26
4,9,software architectures,26
4,10,cloud services,26
4,11,telecommunications,26
4,12,technology transfer,25
4,13,big data,25
4,14,innovation management,25
4,15,prototyping,24
5,1,artificial intelligence decision support,55
5,2,sme support,50
5,3,innovation management,50
5,4,prototyping,46
5,5,technological innovation,45
5,6,cybersecurity,44
5,7,ecosystem building,41
5,8,public sector innovation,41
5,9,knowledge transfer,40
5,10,technology transfer,38
5,11,sme business development,37
5,12,smart city,36
5,13,public administration,36
5,14,internet of things,35
5,15,big data,33
