EDIH Title,Country,x1,x2
"EDIH for DATA-BASED INNOVATION FOR CIRCULAR ECONOMY, OPERATIONS & SUSTAINABILITY",Ireland,-0.6752587823391214,-0.7152582435809607
"InnovTourism DIH -  Gateway for Tourism innovation & digitalization, strengthening the sector ecosystem and enabling technology adoption in the industry",Portugal,-0.5662525666054056,-0.35064167160020376
ANDALUSIAN DIGITAL INNOVATION HUB IN ARTIFICIAL INTELLIGENCE AND ROBOTICS,Spain,-0.16504703388240374,-0.2528822147044658
NASK – National Research Institute,Poland,-1.960509695966701,-0.1703255369430814
Pôle SCS,France,-0.18714880542897908,-0.2026347376524792
Cybersecurity Innovation Hub,Czechia,1.4233650227236752,-2.0766546966578314
EDIH Czech Technical University in Prague,Czechia,0.7392072578642617,0.06756729694393926
"Digital Innovation Hub for a Smarter, Safer and more Sustainable Society (DIH4Society)",Romania,-0.45908551979498813,-0.9036730275553276
Digital Innovation Hub of the Galician Industry,Spain,-0.21393329628245572,-0.3109797486607684
Digital Innovation Hub for Nouvelle-Aquitaine Manufacturing Industry Community,France,-0.47125257707252816,0.4654800937091166
EDIH CASSOVIUM,Slovakia,1.8371854904050038,0.0806351707403452
EDIH Lombardia,Italy,0.06597798505167564,1.6199494826918024
EDIH MADRID REGION,Spain,-0.2415990256608645,-0.37279893419460586
European Digital Innovation Hub for employee-centered digital transformation in South Westphalia,Germany,0.24439942325621816,1.3410182969784432
EDIH VILNIUS: accelerating green and digital transformation in Vilnius region,Lithuania,-1.4491041468040557,0.9866015910099936
EDIH-DIGIMAT: Flexible Manufacturing Systems Using Artificial Intelligence,Czechia,-0.4354215101659126,1.9770803046202612
Digital Hub Logistics Dortmund as European Digital Innovation Hub,Germany,0.8460619650808785,0.31036869930908956
Development of AI – ICT for Manufacturing EDIH in Latvia,Latvia,0.5346275864456359,0.3179169820822574
EDIH Odense for deployment of collaborative robots (cobots) in many domains especially manufacturing and logistics,Denmark,-1.6468314982457417,0.6257163104729128
Flanders Artificial Intelligence European Digital Innovation Hub,Belgium,-2.147289130842699,0.2525840474636174
European Digital Innovation Hub Saarland,Germany,-0.8506301331325369,1.764989005042933
MicroCyber,Italy,-1.756979842021902,-0.6565927372957405
Pomeranian Digital Innovation Hub,Poland,-1.0231889099632814,-0.018126441846932424
Innovation Hub for Smart Polymers and Digital Technologies,France,-1.6280429058585668,1.1650369919888928
PRODUTECH DIH,Portugal,5.430876330881886,0.5147445017097914
"Smart, Resilient and Sustainable Communities – European Digital Innovation Hub",Slovenia,-1.3830125793772043,-0.15321669415151193
Swedish network for Sustainable Digitalisation and Human-Centric Factory Transformation,Sweden,-1.193690824331176,2.337614454590079
Transilvania Digital Innovation Hub,Romania,-0.9095409057329759,-0.38719495158564343
Umbria Digital Data,Italy,-1.4365562924779058,-0.42040856360752227
"WalHub, to boost the digital transformation of  manufacturing companies and the adoption of  key technologies - i.e. AI, HPC, Cybersecurity and IoT - in their industrial and supply chain processes",Belgium,-1.3933481866947008,0.13768147780932838
Innovation for Competitiveness and Advance Manufacturing,Spain,2.6295235332147917,0.6825945539131252
AI driven digital transformation of SMEs - towards Industry 5.0 production processes,Austria,-1.5055996730041603,1.1946884658427923
"Robotics, Control and Decision Systems Digital Innovation Hub at the Cyprus University of Technology",Cyprus,-1.128535890376708,1.0262507007861648
European Digital Innovation Hub Boosting Additive Manufacturing through Digital Services,Sweden,-2.6596294181867486,0.3671378141666679
CONNECT5,Portugal,-1.483782539299971,0.4972997806343483
IMPROVING THE COMPETITIVENESS OF SMEs AND PSOs IN THE SOUTH-EAST REGION OF BULGARIA THROUGH INTEGRATED INNOVATIVE DIGITAL SOLUTIONS,Bulgaria,-0.19845312094487869,-0.3883953484225098
Regional Center for Digital Solutions and Innovation NCIZ,Bulgaria,-1.9611408500168541,1.1718529649605147
ARTES 5.0 Restart Italy,Italy,-1.863769200451523,-0.25455488898211565
EDIH Grand Est - Accelerate digitalisation of manufacturing sector in Grand Est,France,-2.2079918836320434,-0.0462057600347745
