Country,#EDIHs,X1_Breadth,X2_Top5_Concentration,X3_Advanced_Tech_Index,X4_ServiceMix_Index,X5_Distinctiveness_Index,Cluster_3,Cluster_4
Albania,4,0.0376947748709702,-0.3286091355604366,-0.153270473005011,-0.5855147588716254,0.3286091355604373,3,4
Austria,4,-0.723268492836748,0.5458330990007805,-0.2293466456235118,-0.0555590190404476,-0.5458330990007799,3,4
Belgium,7,-0.051830315447585,-0.2510308466697595,-0.153270473005011,-0.5855147588716254,0.2510308466697599,3,4
Bosnia and Herzegovina,2,-0.0965928606068624,-0.2103022450021542,-0.3162908429017987,0.1412816843254177,0.2103022450021542,3,4
Bulgaria,11,0.0824573200302475,-0.1992109740123152,-0.2293466456235118,-0.33113600375266,0.1992109740123159,3,4
Croatia,5,-0.4546932218810829,0.3766819427677844,0.3472306626430205,-0.5855147588716254,-0.3766819427677839,3,4
Cyprus,2,-1.7528070315001314,1.9346531185980067,2.002221084519179,0.4037359554799059,-1.9346531185980056,1,1
Czechia,8,0.7538954974194108,-0.6730469181984734,-0.5827327377868707,-0.33113600375266,0.6730469181984741,2,3
Denmark,5,-0.4546932218810829,0.3766819427677844,-0.2293466456235118,0.1412816843254177,-0.3766819427677839,3,4
Estonia,1,-0.7680310379960256,0.8544597700223859,-0.2293466456235118,-0.33113600375266,-0.8544597700223849,3,4
Finland,4,-0.2756430412439724,-0.0328419091647308,0.0196299193097634,-0.33113600375266,0.0328419091647314,3,4
France,16,0.8881831328972434,-0.747011553388508,-0.6287465518706413,-0.33113600375266,0.7470115533885092,2,3
Germany,42,1.067233313534354,-0.8376038972646741,-0.7126540951998701,-0.33113600375266,0.8376038972646751,2,3
Greece,9,-0.0070677702883071,-0.1187098136021937,-0.0705789810283798,-0.33113600375266,0.1187098136021943,3,4
Hungary,9,0.843420587737966,-0.7229654374213775,-0.7126540951998701,-0.33113600375266,0.7229654374213788,2,3
Iceland,1,-2.0661448476150746,3.294539387786958,2.509395568642518,-0.33113600375266,-3.294539387786957,1,1
Ireland,4,-0.4546932218810829,-0.0328419091647308,0.0928583207607268,0.1412816843254177,0.0328419091647314,3,4
Italy,36,1.3358085844900192,-0.9587219222295486,-0.7510118292932321,-0.33113600375266,0.9587219222295488,2,3
Kosovo,1,-1.3499441250666335,0.299896220530438,0.4345908608652224,-0.0555590190404476,-0.2998962205304374,3,4
Latvia,3,-0.4994557670403603,0.2281291729491273,-0.0705789810283798,0.6863790167232016,-0.2281291729491268,3,4
Liechtenstein,2,-1.708044486340854,1.7417614492095033,0.553151129881068,5.4559806752038025,-1.7417614492095037,1,2
Lithuania,4,-0.1413554057661398,0.0122751253702071,-0.0705789810283798,0.1412816843254177,-0.0122751253702065,3,4
Luxembourg,1,-2.33472011857074,2.62906312839662,4.030919021012535,1.3223259045206146,-2.62906312839662,1,1
Malta,2,-1.3499441250666335,1.2981106096159447,1.596481497220508,1.3223259045206146,-1.2981106096159445,1,1
Montenegro,1,-1.1261313992702455,0.4707617465901195,0.9878721162725012,-0.7445014808209791,-0.4707617465901196,3,4
Netherlands,9,0.7091329522601334,-0.647127687063504,-0.6287465518706413,-0.33113600375266,0.647127687063505,2,3
North Macedonia,4,0.7986580425786886,-0.6983181685550686,-0.5827327377868707,-0.33113600375266,0.6983181685550692,2,3
Norway,3,0.7091329522601334,-0.647127687063504,-0.4249710894996569,0.1412816843254177,0.647127687063505,2,3
Poland,14,0.5300827716230233,-0.536445564919581,-0.2995708049636664,-0.33113600375266,0.5364455649195813,2,3
Portugal,11,1.2015209490121863,-0.9002042247746093,-0.7126540951998701,-0.33113600375266,0.9002042247746103,2,3
Romania,7,0.3957951361451907,-0.4452497318855036,-0.4811850101537215,-0.33113600375266,0.4452497318855048,2,3
Serbia,5,0.7538954974194108,-0.6730469181984734,-0.5827327377868707,-0.33113600375266,0.6730469181984741,2,3
Slovakia,5,0.4853202264637455,-0.5068797925660674,-0.4249710894996569,-0.33113600375266,0.5068797925660687,2,3
Slovenia,5,0.2167449555080802,-0.3109513907009913,-0.2995708049636664,-0.33113600375266,0.3109513907009922,3,4
Spain,27,1.3358085844900192,-0.9587219222295486,-0.7872385781591846,-0.33113600375266,0.9587219222295488,2,3
Sweden,6,0.8881831328972434,-0.747011553388508,-0.6719716499493349,-0.33113600375266,0.7470115533885092,2,3
Türkiye,7,1.3358085844900192,-0.9587219222295486,-0.7510118292932321,-0.33113600375266,0.9587219222295488,2,3
Ukraine,10,1.2462834941714638,-0.920143588351848,-0.7872385781591846,-0.33113600375266,0.920143588351849,2,3
