Country,#EDIHs,X1_Breadth,X2_Top5_Concentration,X3_Advanced_Tech_Index,X4_ServiceMix_Index,X5_Distinctiveness_Index
Albania,4,0.037694774870970206,-0.32860913556043664,-0.15327047300501104,-0.5855147588716254,0.3286091355604373
Austria,4,-0.723268492836748,0.5458330990007805,-0.22934664562351184,-0.055559019040447605,-0.5458330990007799
Belgium,7,-0.05183031544758504,-0.25103084666975956,-0.15327047300501104,-0.5855147588716254,0.2510308466697599
Bosnia and Herzegovina,2,-0.09659286060686242,-0.2103022450021542,-0.3162908429017987,0.14128168432541777,0.21030224500215425
Bulgaria,11,0.08245732003024758,-0.19921097401231527,-0.22934664562351184,-0.33113600375266006,0.1992109740123159
Croatia,5,-0.4546932218810829,0.3766819427677844,0.34723066264302055,-0.5855147588716254,-0.3766819427677839
Cyprus,2,-1.7528070315001314,1.9346531185980067,2.002221084519179,0.4037359554799059,-1.9346531185980058
Czechia,8,0.7538954974194108,-0.6730469181984734,-0.5827327377868707,-0.33113600375266006,0.6730469181984741
Denmark,5,-0.4546932218810829,0.3766819427677844,-0.22934664562351184,0.14128168432541777,-0.3766819427677839
Estonia,1,-0.7680310379960256,0.8544597700223859,-0.22934664562351184,-0.33113600375266006,-0.8544597700223849
Finland,4,-0.27564304124397243,-0.03284190916473085,0.01962991930976344,-0.33113600375266006,0.032841909164731446
France,16,0.8881831328972434,-0.747011553388508,-0.6287465518706413,-0.33113600375266006,0.7470115533885092
Germany,42,1.067233313534354,-0.8376038972646741,-0.7126540951998701,-0.33113600375266006,0.8376038972646751
Greece,9,-0.007067770288307181,-0.11870981360219371,-0.07057898102837983,-0.33113600375266006,0.11870981360219432
Hungary,9,0.843420587737966,-0.7229654374213775,-0.7126540951998701,-0.33113600375266006,0.7229654374213788
Iceland,1,-2.0661448476150746,3.294539387786958,2.509395568642518,-0.33113600375266006,-3.2945393877869575
Ireland,4,-0.4546932218810829,-0.03284190916473085,0.09285832076072685,0.14128168432541777,0.032841909164731446
Italy,36,1.3358085844900192,-0.9587219222295486,-0.7510118292932321,-0.33113600375266006,0.9587219222295487
Kosovo,1,-1.3499441250666337,0.299896220530438,0.4345908608652224,-0.055559019040447605,-0.29989622053043746
Latvia,3,-0.4994557670403603,0.22812917294912735,-0.07057898102837983,0.6863790167232016,-0.2281291729491268
Liechtenstein,2,-1.708044486340854,1.7417614492095033,0.553151129881068,5.4559806752038025,-1.7417614492095035
Lithuania,4,-0.1413554057661398,0.012275125370207184,-0.07057898102837983,0.14128168432541777,-0.012275125370206596
Luxembourg,1,-2.33472011857074,2.62906312839662,4.030919021012535,1.3223259045206146,-2.62906312839662
Malta,2,-1.3499441250666337,1.2981106096159447,1.5964814972205081,1.3223259045206146,-1.2981106096159443
Montenegro,1,-1.1261313992702457,0.4707617465901195,0.9878721162725013,-0.7445014808209791,-0.4707617465901196
Netherlands,9,0.7091329522601334,-0.647127687063504,-0.6287465518706413,-0.33113600375266006,0.647127687063505
North Macedonia,4,0.7986580425786886,-0.6983181685550686,-0.5827327377868707,-0.33113600375266006,0.6983181685550692
Norway,3,0.7091329522601334,-0.647127687063504,-0.4249710894996569,0.14128168432541777,0.647127687063505
Poland,14,0.5300827716230233,-0.536445564919581,-0.29957080496366645,-0.33113600375266006,0.5364455649195813
Portugal,11,1.2015209490121865,-0.9002042247746093,-0.7126540951998701,-0.33113600375266006,0.9002042247746103
Romania,7,0.3957951361451907,-0.4452497318855036,-0.4811850101537215,-0.33113600375266006,0.4452497318855048
Serbia,5,0.7538954974194108,-0.6730469181984734,-0.5827327377868707,-0.33113600375266006,0.6730469181984741
Slovakia,5,0.4853202264637455,-0.5068797925660674,-0.4249710894996569,-0.33113600375266006,0.5068797925660687
Slovenia,5,0.2167449555080802,-0.3109513907009913,-0.29957080496366645,-0.33113600375266006,0.31095139070099226
Spain,27,1.3358085844900192,-0.9587219222295486,-0.7872385781591846,-0.33113600375266006,0.9587219222295487
Sweden,6,0.8881831328972434,-0.747011553388508,-0.6719716499493349,-0.33113600375266006,0.7470115533885092
Türkiye,7,1.3358085844900192,-0.9587219222295486,-0.7510118292932321,-0.33113600375266006,0.9587219222295487
Ukraine,10,1.2462834941714638,-0.920143588351848,-0.7872385781591846,-0.33113600375266006,0.920143588351849
